Edge Density,For 2-stepfuntions,For all graphons,scallop,Dif
0.5,0,0,2,0
0.51,0.015002,0.014924232600318,2,7.77673996815963E-05
0.52,0.030016,0.029693712570615,2,0.000322287429384
0.53,0.045054,0.044303245481819,2,0.000750754518181
0.54,0.060128,0.058747075587879,2,0.001380924412121
0.55,0.07525,0.073018776745897,2,0.002231223254103
0.56,0.090432,0.087111111111111,2,0.003320888888889
0.57,0.105686,0.101015842214439,2,0.004670157785561
0.58,0.121024,0.114723481519541,2,0.006300518480459
0.59,0.136458,0.128222934487569,2,0.008235065512431
0.6,0.152,0.14150098817703,2,0.010499011822971
0.61,0.167662,0.154541535309737,2,0.013120464690264
0.62,0.183456,0.167324329254466,2,0.016131670745534
0.63,0.199394,0.179822825182438,2,0.019571174817562
0.64,0.215488,0.192,2,0.023488
0.65,0.23175,0.20379873463324,2,0.027951265366761
0.66,0.248192,0.215111111111111,2,0.033080888888889
0.67,0.264826,0.228872109410313,3,0.035953890589688
0.68,0.281664,0.248614646756873,3,0.033049353243127
0.69,0.298718,0.268029437251523,3,0.030688562748477
0.7,0.316,0.287090055512642,3,0.028909944487358
0.71,0.333522000000001,0.305762395692966,3,0.027759604307035
0.72,0.351296,0.324,3,0.027296
0.73,0.369334,0.341734013676289,3,0.027599986323711
0.74,0.387648,0.358845299461621,3,0.028802700538379
0.75,0.406250000000001,0.375,4,0.031250000000001
0.76,0.425152000000001,0.397266873708001,4,0.027885126291999
0.77,0.444366,0.419028629976827,4,0.025337370023173
0.78,0.463904000000001,0.440205266807798,4,0.023698733192202
0.79,0.483778000000001,0.460658359213501,4,0.0231196407865
0.8,0.504000000000001,0.480000000000001,5,0.024
0.81,0.524582,0.503683004279344,5,0.020898995720656
0.82,0.545536000000001,0.526640158108325,5,0.018895841891675
0.83,0.566874000000001,0.548607797541319,5,0.018266202458682
0.84,0.588608,0.572046823928883,6,0.016561176071117
0.85,0.610750000000001,0.596007274562067,6,0.014742725437934
0.86,0.633312000000001,0.619554058481815,7,0.013757941518186
0.87,0.656306000000001,0.644433053290487,7,0.011872946709514
0.88,0.679744000000001,0.669234567901236,8,0.010509432098765
0.89,0.703638000000001,0.694313451914578,9,0.009324548085423
0.9,0.728000000000001,0.720000000000001,10,0.008
0.91,0.752842000000001,0.746274663482865,11,0.006567336517136
0.92,0.778176000000001,0.772953805776991,12,0.00522219422301
0.93,0.804014000000001,0.799876933957304,14,0.004137066042696
0.94,0.830368000000001,0.827262238050397,16,0.003105761949604
0.95,0.857250000000001,0.855000000000001,20,0.00225
0.96,0.884672000000001,0.883200000000001,25,0.001472
0.97,0.912646000000001,0.911806651019299,33,0.000839348980701
0.98,0.941184000000001,0.940800000000001,50,0.000384
0.99,0.970298000000002,0.970200000000001,100,9.80000000004866E-05
